id,ftemp,age,educ,annualinc,marital,children,race,homeowner,state
198171,1,41,16,74795.961,1,2,1,1,12
200003,1,32,12,19503.047,1,5,1,0,12
200004,1,31,17,50721.008,1,1,1,1,46
203003,1,36,17,94447.43,1,0,1,0,31
203172,1,30,16,87417.773,1,1,1,1,31
203173,1,39,16,201481.61,1,0,1,1,31
209003,1,38,16,18231.516,1,1,1,1,41
214001,1,49,16,91888,1,0,1,1,22
215170,0,52,14,35060.605,1,1,1,1,11
217003,1,36,12,47916.16,1,3,3,1,4
218001,1,45,17,114303.41,2,0,1,1,39
220002,1,27,12,26704.494,1,0,1,0,5
221001,0,42,9,21386.969,1,0,1,1,42
223002,1,44,16,132996.56,1,0,1,1,42
227001,1,58,16,171422.98,1,0,1,1,29
228003,1,41,16,67783.836,1,2,1,1,20
228174,1,32,14,228478.28,1,0,1,1,29
231003,1,37,14,14906.601,2,0,1,0,4
236001,1,43,16,58434.344,1,1,1,1,14
236170,1,25,16,47331.816,1,0,1,0,12
238001,1,52,16,233737.38,1,0,1,1,6
242003,1,45,12,55316.285,1,1,1,1,41
245021,1,41,17,101032.98,1,3,2,1,29
246170,1,37,16,41838.988,1,2,1,1,34
250001,1,46,10,79115.422,1,0,1,1,39
250004,1,23,12,32138.889,2,0,1,1,39
250170,1,33,12,43981.191,1,1,1,1,39
254001,1,43,14,128847.73,1,0,1,1,29
257003,1,39,15,90432.984,1,3,1,1,4
257006,1,28,12,15192.929,1,1,1,0,4
263170,1,42,12,68017.57,1,3,1,1,37
263171,0,49,12,25944.848,1,1,1,1,37
263175,1,27,12,32279.131,1,0,1,0,37
266170,1,27,12,67900.703,1,2,1,0,24
266172,1,28,12,40978.836,1,1,1,1,24
267170,1,42,12,72458.586,1,2,1,1,24
275003,0,51,11,4746.0371,2,0,1,0,17
277002,1,38,14,47892.785,1,2,1,0,34
277004,1,34,10,26379.6,1,1,1,0,34
280003,1,40,17,73720.766,3,1,1,1,41
280004,1,28,12,31227.313,1,1,1,0,16
280005,1,25,12,4674.7476,2,0,1,0,16
280171,1,41,17,73627.273,1,1,1,0,16
284001,1,57,16,148423.23,1,0,1,1,39
284003,1,30,16,42072.727,2,0,1,1,39
284004,1,28,16,86482.828,1,0,1,1,39
287021,1,42,17,47331.816,5,0,1,0,4
287175,1,39,16,76983.742,1,0,1,1,4
290003,1,59,12,13930.747,4,0,1,0,28
295003,1,35,14,11742.966,2,0,2,0,34
295170,1,31,12,29684.646,1,4,2,0,34
297008,0,32,8,20885.602,1,3,1,0,4
297172,1,34,12,41605.25,1,2,7,1,4
297176,1,32,12,31905.15,1,2,7,0,4
297178,1,42,7,46747.473,1,1,7,1,4
301003,1,41,16,82471.891,1,1,1,1,20
301171,1,41,17,93494.945,1,3,1,1,20
302004,1,37,16,191664.64,1,1,1,1,21
302021,1,42,17,131360.41,1,2,1,1,21
302022,1,42,17,76548.984,1,2,1,1,21
303002,1,43,12,131276.25,1,2,1,1,21
306003,1,23,12,22871.201,2,0,1,0,4
308004,1,36,12,232334.94,1,3,1,1,13
308172,1,43,17,240983.22,1,2,1,1,13
312003,1,38,15,41536.301,1,2,1,1,4
315003,1,35,12,55162.02,1,1,1,1,34
317005,1,30,16,111025.25,1,0,1,1,21
317170,1,43,16,63459.695,1,3,1,1,21
317171,1,47,16,82743.031,1,2,1,1,21
319172,1,24,13,31601.293,1,0,1,0,21
320003,1,36,13,45999.516,1,1,1,1,21
321170,1,37,17,195638.17,1,2,1,1,20
322001,1,53,13,94105,1,0,2,0,31
323003,1,36,16,100098.03,1,2,1,1,37
323005,1,32,16,40904.039,2,0,1,0,4
323172,1,31,16,94196.156,1,0,1,1,12
327001,1,47,14,86132.219,1,1,1,1,42
340004,1,30,16,52707.777,2,0,1,0,12
343001,1,46,13,60397.734,1,1,1,1,12
344001,1,53,17,21328.535,1,0,1,0,14
344004,1,30,17,44760.707,1,2,1,0,42
344005,1,28,16,11219.394,2,0,1,0,35
350001,1,49,13,51422.223,1,0,1,1,24
350170,1,25,17,25535.807,1,0,1,0,13
351001,1,55,11,35294.344,1,0,1,1,49
351170,1,37,11,23140,1,3,1,0,49
351171,1,37,13,52590.906,1,3,1,1,49
351172,1,31,12,28662.045,1,3,1,0,19
352001,1,45,12,69420,1,1,1,1,34
354003,1,32,10,35060.605,1,1,1,0,9
355004,1,34,16,72739.07,1,1,1,1,34
356001,1,44,12,124289.84,4,1,1,0,14
361001,1,55,12,57297.211,1,0,1,1,41
361003,1,32,10,40553.434,1,1,1,1,41
361004,1,30,12,38332.93,1,1,1,0,41
368001,1,52,17,60397.734,1,0,4,1,34
368003,1,24,17,33891.918,2,0,4,0,34
372001,1,53,13,54110.199,1,0,1,1,3
374003,1,41,16,52824.645,2,0,1,0,4
375004,1,27,12,17530.303,2,0,1,0,4
375171,1,28,16,79529.141,1,0,1,1,4
376001,1,57,17,154967.88,4,0,4,1,4
376003,1,29,16,63109.09,2,0,4,0,4
378001,1,57,6,44480.223,1,1,2,1,9
391005,1,34,16,58434.344,5,0,1,0,29
391172,1,36,14,90764.898,1,2,1,0,29
404001,0,53,11,31208.613,1,0,2,1,3
404003,1,33,12,46747.473,2,0,2,1,3
404004,1,31,12,33891.918,4,0,2,0,3
409171,1,39,16,82041.813,1,2,1,1,42
412001,1,50,17,102844.45,4,0,1,1,20
414171,1,39,13,19867.676,1,4,1,0,40
414172,1,37,16,39840.535,1,2,1,1,22
414173,1,33,12,28866.564,1,0,1,0,11
417001,1,52,8,76548.984,1,0,1,1,32
417003,1,26,12,50428.836,1,0,1,1,32
419004,1,29,12,29217.172,1,2,2,1,32
419170,1,42,10,17647.172,1,2,2,0,32
423003,1,39,12,35972.18,1,2,1,1,32
423004,1,37,12,44971.07,1,3,1,1,32
424003,1,44,16,62291.008,1,1,1,1,32
428004,1,36,17,111025.25,1,2,1,1,12
431001,1,45,11,92164.984,1,0,1,1,29
432004,1,36,12,584.34344,1,1,1,0,29
433001,0,59,13,93436.516,1,0,1,1,29
433003,1,32,12,59977.008,1,1,1,1,29
433172,1,31,12,92852.172,1,0,1,1,29
436003,1,44,16,91975.656,1,1,1,1,24
436005,1,41,17,58520.824,1,2,1,1,24
436006,1,36,16,131477.27,1,2,1,1,37
436170,1,45,16,70004.344,1,2,1,1,24
439001,1,42,16,43826.926,1,0,1,1,24
440170,1,42,16,75263.43,1,2,1,1,14
441170,1,45,17,95832.32,1,2,1,1,14
442001,1,49,16,50195.102,1,0,1,1,24
443171,1,29,9,30526.1,1,2,1,0,34
444001,1,42,15,66901.477,1,1,1,1,3
445171,1,37,16,95364.844,1,3,1,0,17
446002,1,41,15,17880.908,2,0,1,0,12
449001,0,55,9,27113.535,1,1,2,1,3
450003,1,27,14,10518.182,2,0,1,0,4
450004,1,33,12,36179.039,1,1,1,1,14
450021,1,41,16,11686.868,1,3,1,0,14
450170,1,46,16,43592.02,1,1,1,1,14
450171,1,48,17,87067.172,1,0,1,1,14
452003,1,40,13,33481.711,1,4,1,1,14
452021,1,46,12,50517.656,1,2,1,1,14
455001,1,45,12,72107.977,1,1,1,1,32
455172,1,52,9,72809.188,1,0,1,1,32
455173,1,27,12,40904.039,1,2,1,1,32
459001,1,56,12,28048.484,1,0,1,1,41
459004,1,32,17,92326.258,1,0,1,1,42
461003,1,42,12,68157.82,1,1,1,1,41
465003,1,37,11,104013.13,1,4,1,1,34
465176,1,24,12,46747.473,1,0,1,0,10
473021,1,41,16,63693.434,1,2,1,1,5
476171,1,43,12,71361.188,1,2,1,1,12
478177,1,33,11,14584.043,1,2,1,0,29
479003,1,34,17,58434.344,1,0,1,0,29
486001,1,54,12,53292.121,1,0,1,1,16
